tahun,nama_museum,jumlah
2015,Museum Sejarah Jakarta,1884900500
2015,Museum Bahari,110776000
2015,Museum Joang'45 ,26442750
2015,Museum Wayang,1189775250
2015,Taman Arkeologi Onrust,129694250
2015,Museum Tekstil,192518200
2015,Monumen Nasional,0
2015,Museum Seni Rupa dan Keramik,675232750
