tahun,nama_museum,jumlah
2017,Museum Sejarah Jakarta,2947538010
2017,Museum Bahari,283003550
2017,Museum Joang'45 ,45819750
2017,Museum Wayang,1335423250
2017,Taman Arkeologi Onrust,240535000
2017,Museum Tekstil,144798750
2017,Monumen Nasional,11001137878
2017,Museum Seni Rupa dan Keramik,732783750
