tahun,nama_museum,jumlah
2016,Museum Sejarah Jakarta,2653452250
2016,Museum Bahari,305010250
2016,Museum Joang'45 ,33053500
2016,Museum Wayang,1086538250
2016,Taman Arkeologi Onrust,153961000
2016,Museum Tekstil,129412250
2016,Monumen Nasional,0
2016,Museum Seni Rupa dan Keramik,594369750
